folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.85,0.76,0.75,0.76,0.74,0.83,0.72,0.72,0.7,0.79,0.76,0.84,0.84,0.7,0.8,0.77,0.75,0.77,0.79,0.77,0.76,0.67,0.78,0.79,0.77,0.84,0.8,0.73,0.7,0.76
Adiac,0.7902813299232737,0.7749360613810742,0.7595907928388747,0.7698209718670077,0.7953964194373402,0.7851662404092071,0.7723785166240409,0.7647058823529411,0.7544757033248082,0.7519181585677749,0.7493606138107417,0.7442455242966752,0.7519181585677749,0.7595907928388747,0.7672634271099744,0.7672634271099744,0.7544757033248082,0.7621483375959079,0.7340153452685422,0.7851662404092071,0.7723785166240409,0.7928388746803069,0.7774936061381074,0.7519181585677749,0.7493606138107417,0.7621483375959079,0.7800511508951407,0.7800511508951407,0.8005115089514067,0.7621483375959079
ArrowHead,0.8,0.7942857142857143,0.8171428571428572,0.8285714285714286,0.8685714285714285,0.8685714285714285,0.8514285714285714,0.8457142857142858,0.8342857142857143,0.84,0.7828571428571428,0.84,0.7428571428571429,0.8514285714285714,0.8457142857142858,0.88,0.7428571428571429,0.8171428571428572,0.8457142857142858,0.8285714285714286,0.8857142857142857,0.8342857142857143,0.8228571428571428,0.8342857142857143,0.8514285714285714,0.8571428571428571,0.8914285714285715,0.8057142857142857,0.8742857142857143,0.8171428571428572
Beef,0.8333333333333334,0.7666666666666667,0.6,0.7,0.9,0.6666666666666666,0.9,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.7666666666666667,0.7,0.9333333333333333,0.7,0.9666666666666667,0.7,0.8,0.7,0.7333333333333333,0.9333333333333333,0.6666666666666666,0.7666666666666667,0.6666666666666666,0.7,0.8,0.7,0.8333333333333334,0.7333333333333333,0.7,0.8333333333333334
BeetleFly,0.8,0.95,0.8,0.9,0.9,0.85,0.95,0.9,0.8,0.85,0.95,1.0,0.8,0.8,0.85,0.95,0.7,0.9,0.9,0.9,0.8,0.95,0.9,0.9,0.85,0.9,0.85,0.85,0.85,0.9
BirdChicken,0.85,0.8,0.9,0.95,0.9,0.85,1.0,0.7,0.75,0.85,0.95,0.9,1.0,0.8,0.9,0.9,0.85,0.8,0.85,0.95,0.85,0.95,0.75,0.95,0.85,0.9,0.8,0.75,0.8,0.75
BME,0.8466666666666667,0.96,0.6533333333333333,0.8333333333333334,0.8866666666666667,0.6933333333333334,0.78,0.8,0.8133333333333334,0.7533333333333333,0.8933333333333333,0.8066666666666666,0.7933333333333333,0.88,0.8933333333333333,0.88,0.76,0.7533333333333333,0.7866666666666666,0.9066666666666666,0.8333333333333334,0.82,0.84,0.86,0.82,0.8533333333333334,0.86,0.8866666666666667,0.7533333333333333,0.7733333333333333
Car,0.8166666666666667,0.7833333333333333,0.8666666666666667,0.7666666666666667,0.7333333333333333,0.7833333333333333,0.7333333333333333,0.8166666666666667,0.6666666666666666,0.75,0.7666666666666667,0.75,0.75,0.8,0.7,0.75,0.7333333333333333,0.75,0.7166666666666667,0.7833333333333333,0.7833333333333333,0.7666666666666667,0.8,0.7666666666666667,0.8666666666666667,0.75,0.8,0.8166666666666667,0.8333333333333334,0.7833333333333333
CBF,0.9766666666666667,0.9444444444444444,0.8844444444444445,0.9188888888888889,0.9566666666666667,0.9655555555555555,0.9988888888888889,0.9488888888888889,0.97,0.9922222222222222,0.9788888888888889,0.9666666666666667,0.9666666666666667,0.9911111111111112,0.9933333333333333,0.9644444444444444,0.9811111111111112,0.9544444444444444,0.9511111111111111,0.8966666666666666,0.9766666666666667,0.98,0.9866666666666667,0.9911111111111112,0.99,0.9566666666666667,0.9966666666666667,0.9444444444444444,0.9744444444444444,0.9711111111111111
Chinatown,0.9652173913043478,0.9507246376811594,0.9391304347826087,0.936231884057971,0.7623188405797101,0.9420289855072463,0.9594202898550724,0.9304347826086956,0.8869565217391304,0.9391304347826087,0.9304347826086956,0.9391304347826087,0.9536231884057971,0.9043478260869565,0.8579710144927536,0.8869565217391304,0.9101449275362319,0.9217391304347826,0.9304347826086956,0.9536231884057971,0.863768115942029,0.8956521739130435,0.9391304347826087,0.9652173913043478,0.7913043478260869,0.9101449275362319,0.9304347826086956,0.8985507246376812,0.927536231884058,0.8985507246376812
