folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.9,0.79,0.79,0.81,0.85,0.86,0.78,0.81,0.76,0.81,0.84,0.86,0.84,0.77,0.79,0.81,0.85,0.79,0.83,0.74,0.75,0.75,0.76,0.88,0.77,0.82,0.79,0.71,0.82,0.84
Adiac,0.7698209718670077,0.7877237851662404,0.7416879795396419,0.7365728900255755,0.7902813299232737,0.7749360613810742,0.7595907928388747,0.7570332480818415,0.7672634271099744,0.7800511508951407,0.7544757033248082,0.7877237851662404,0.7365728900255755,0.7672634271099744,0.7851662404092071,0.7647058823529411,0.7723785166240409,0.7519181585677749,0.7800511508951407,0.7877237851662404,0.7595907928388747,0.7851662404092071,0.7851662404092071,0.7953964194373402,0.7468030690537084,0.782608695652174,0.7442455242966752,0.782608695652174,0.80306905370844,0.7698209718670077
ArrowHead,0.7942857142857143,0.8171428571428572,0.8342857142857143,0.9028571428571428,0.8457142857142858,0.84,0.8914285714285715,0.84,0.88,0.8971428571428571,0.8342857142857143,0.8685714285714285,0.7714285714285715,0.8457142857142858,0.8742857142857143,0.8685714285714285,0.7885714285714286,0.8571428571428571,0.84,0.8228571428571428,0.9257142857142857,0.8514285714285714,0.8228571428571428,0.8914285714285715,0.9142857142857143,0.88,0.8742857142857143,0.8457142857142858,0.88,0.8171428571428572
Beef,0.8333333333333334,0.7333333333333333,0.7,0.6666666666666666,0.9,0.6333333333333333,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8,0.7333333333333333,0.7666666666666667,0.8666666666666667,0.6,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.5666666666666667,0.8333333333333334,0.7333333333333333,0.8,0.8333333333333334,0.7666666666666667,0.7333333333333333,0.6,0.7666666666666667,0.9,0.7,0.6666666666666666
BeetleFly,0.9,0.85,0.8,0.95,0.85,0.9,1.0,0.85,0.85,0.85,1.0,0.95,0.8,0.75,0.75,0.95,0.95,0.9,0.95,0.8,0.85,1.0,0.85,0.95,0.85,1.0,0.85,0.8,0.85,1.0
BirdChicken,0.9,0.85,0.8,0.85,0.8,1.0,0.9,0.85,0.85,0.8,0.85,0.85,0.95,0.9,0.85,1.0,0.85,0.95,0.9,1.0,0.8,1.0,0.9,0.95,0.8,0.95,0.9,0.8,0.8,0.8
BME,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,0.9866666666666667,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333
Car,0.85,0.9166666666666666,0.9,0.85,0.8833333333333333,0.9333333333333333,0.85,0.9,0.9166666666666666,0.8833333333333333,0.8833333333333333,0.95,0.9333333333333333,0.9333333333333333,0.9166666666666666,0.9,0.9166666666666666,0.8833333333333333,0.9,0.9333333333333333,0.7833333333333333,0.9,0.9666666666666667,0.9166666666666666,0.9166666666666666,0.9333333333333333,0.9,0.8833333333333333,0.8833333333333333,0.8833333333333333
CBF,1.0,1.0,0.99,1.0,1.0,0.9888888888888889,0.9988888888888889,1.0,1.0,1.0,0.9911111111111112,0.9988888888888889,0.9988888888888889,1.0,0.9988888888888889,1.0,0.9966666666666667,0.9955555555555555,0.9955555555555555,0.9977777777777778,0.9655555555555555,0.9988888888888889,1.0,1.0,1.0,0.9988888888888889,1.0,0.9977777777777778,0.9666666666666667,1.0
Chinatown,0.9797101449275363,0.9855072463768116,0.9652173913043478,0.9623188405797102,0.9681159420289855,0.9768115942028985,0.9768115942028985,0.9565217391304348,0.9710144927536232,0.9768115942028985,0.9797101449275363,0.9652173913043478,0.9681159420289855,0.9768115942028985,0.9681159420289855,0.9391304347826087,0.9681159420289855,0.9536231884057971,0.9768115942028985,0.9739130434782609,0.9565217391304348,0.9565217391304348,0.9536231884057971,0.9768115942028985,0.9652173913043478,0.9623188405797102,0.9623188405797102,0.9652173913043478,0.9623188405797102,0.9797101449275363
