folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.89,0.74,0.83,0.86,0.77,0.85,0.78,0.74,0.79,0.81,0.74,0.83,0.89,0.79,0.8,0.81,0.88,0.72,0.83,0.79,0.82,0.75,0.76,0.81,0.77,0.77,0.84,0.72,0.75,0.87
Adiac,0.8158567774936062,0.7877237851662404,0.7723785166240409,0.7595907928388747,0.8132992327365729,0.80306905370844,0.7851662404092071,0.7851662404092071,0.7570332480818415,0.7851662404092071,0.7723785166240409,0.7723785166240409,0.782608695652174,0.782608695652174,0.7647058823529411,0.782608695652174,0.8056265984654731,0.7774936061381074,0.7723785166240409,0.8132992327365729,0.7979539641943734,0.7928388746803069,0.7979539641943734,0.7979539641943734,0.7723785166240409,0.7928388746803069,0.7851662404092071,0.7698209718670077,0.7902813299232737,0.7979539641943734
ArrowHead,0.6914285714285714,0.8685714285714285,0.7314285714285714,0.8571428571428571,0.8171428571428572,0.7828571428571428,0.8,0.8114285714285714,0.7085714285714285,0.8,0.8114285714285714,0.8457142857142858,0.7485714285714286,0.7942857142857143,0.8057142857142857,0.7428571428571429,0.7314285714285714,0.7657142857142857,0.8,0.84,0.7657142857142857,0.8285714285714286,0.7371428571428571,0.8285714285714286,0.8285714285714286,0.7885714285714286,0.8228571428571428,0.8171428571428572,0.8171428571428572,0.8114285714285714
Beef,0.8333333333333334,0.6666666666666666,0.7,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.7333333333333333,0.8,0.9,0.6666666666666666,0.6333333333333333,0.8333333333333334,0.5666666666666667,0.8333333333333334,0.7333333333333333,0.7333333333333333,0.9,0.7,0.7333333333333333,0.7,0.8333333333333334,0.7666666666666667,0.8333333333333334,0.6333333333333333,0.7333333333333333,0.5666666666666667,0.6666666666666666,0.7666666666666667,0.6666666666666666
BeetleFly,0.8,1.0,1.0,0.9,0.95,0.95,1.0,1.0,0.95,0.95,0.95,0.85,0.95,1.0,0.95,0.9,0.95,0.9,0.95,0.9,0.9,0.95,0.95,0.95,0.9,0.95,0.95,0.95,0.9,0.95
BirdChicken,0.9,0.85,0.9,0.85,0.95,0.85,0.95,0.85,0.85,0.85,0.85,0.8,0.9,0.9,0.75,0.95,1.0,0.95,0.8,0.9,0.85,0.95,0.95,0.9,0.85,1.0,0.8,0.7,0.9,0.85
BME,0.94,0.96,0.8866666666666667,0.8933333333333333,0.94,0.96,0.94,0.96,0.9666666666666667,0.94,0.9466666666666667,0.96,0.9533333333333334,0.8733333333333333,0.94,0.92,0.9666666666666667,0.9666666666666667,0.92,0.9466666666666667,0.88,0.92,0.9266666666666666,0.86,0.9466666666666667,0.9733333333333334,0.8733333333333333,0.88,0.88,0.9466666666666667
Car,0.85,0.7833333333333333,0.8666666666666667,0.8833333333333333,0.8666666666666667,0.7833333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8833333333333333,0.8166666666666667,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.75,0.8666666666666667,0.8166666666666667,0.8,0.9333333333333333,0.7166666666666667,0.8333333333333334,0.85,0.8666666666666667,0.8,0.9,0.75,0.8666666666666667,0.7833333333333333,0.8166666666666667
CBF,0.9655555555555555,0.9377777777777778,0.9933333333333333,0.99,0.9622222222222222,0.9944444444444445,0.9922222222222222,0.9877777777777778,0.9944444444444445,0.9766666666666667,0.9922222222222222,0.9911111111111112,0.9944444444444445,0.9977777777777778,0.9955555555555555,0.9833333333333333,0.9955555555555555,0.9844444444444445,0.9688888888888889,0.9866666666666667,0.9722222222222222,0.9944444444444445,0.9944444444444445,0.9788888888888889,0.9911111111111112,0.9977777777777778,0.9844444444444445,0.9766666666666667,0.9988888888888889,0.9888888888888889
Chinatown,0.9737609329446064,0.9591836734693877,0.9825072886297376,0.967930029154519,0.9650145772594753,0.9620991253644315,0.967930029154519,0.9708454810495627,0.967930029154519,0.9650145772594753,0.9475218658892128,0.9591836734693877,0.967930029154519,0.967930029154519,0.9650145772594753,0.9416909620991254,0.967930029154519,0.9708454810495627,0.9708454810495627,0.9650145772594753,0.9650145772594753,0.9825072886297376,0.9620991253644315,0.9504373177842566,0.967930029154519,0.9504373177842566,0.9650145772594753,0.9591836734693877,0.9737609329446064,0.9620991253644315
ChlorineConcentration,0.7520833333333333,0.7541666666666667,0.7440104166666667,0.7114583333333333,0.7377604166666667,0.7247395833333333,0.7619791666666667,0.7247395833333333,0.75625,0.7122395833333334,0.7536458333333333,0.7325520833333333,0.7640625,0.73125,0.7385416666666667,0.73515625,0.75,0.746875,0.75703125,0.7575520833333333,0.7265625,0.7416666666666667,0.7567708333333333,0.7486979166666666,0.76484375,0.7296875,0.7263020833333333,0.734375,0.7385416666666667,0.7075520833333333
CinCECGTorso,0.991304347826087,0.9492753623188406,0.9507246376811594,0.986231884057971,0.991304347826087,0.9652173913043478,0.9869565217391304,0.9920289855072464,0.9891304347826086,0.9688405797101449,0.9036231884057971,0.9847826086956522,0.9702898550724638,0.9775362318840579,0.936231884057971,0.9920289855072464,0.946376811594203,0.9717391304347827,0.9702898550724638,0.9826086956521739,0.9623188405797102,0.9739130434782609,0.946376811594203,0.9579710144927536,0.9637681159420289,0.9478260869565217,0.991304347826087,0.9630434782608696,0.9739130434782609,0.9789855072463768
Coffee,1.0,0.9642857142857143,1.0,0.9642857142857143,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,1.0,0.8928571428571429,1.0,1.0,1.0,1.0
Computers,0.672,0.824,0.812,0.804,0.756,0.848,0.796,0.796,0.748,0.824,0.796,0.744,0.86,0.812,0.804,0.816,0.82,0.808,0.76,0.82,0.78,0.796,0.852,0.832,0.856,0.744,0.82,0.908,0.824,0.816
CricketX,0.7923076923076923,0.7871794871794872,0.7923076923076923,0.782051282051282,0.7743589743589744,0.7794871794871795,0.7846153846153846,0.7948717948717948,0.7974358974358975,0.7948717948717948,0.7846153846153846,0.8153846153846154,0.8025641025641026,0.8128205128205128,0.7769230769230769,0.8102564102564103,0.7923076923076923,0.7615384615384615,0.7538461538461538,0.8307692307692308,0.7743589743589744,0.7589743589743589,0.7769230769230769,0.7974358974358975,0.7717948717948718,0.7769230769230769,0.782051282051282,0.782051282051282,0.7897435897435897,0.7948717948717948
